season,manager,player,player_id,player_key,position,price,pick_no,row_order,name_raw,source
2020,Aidan,Saints,,def:Saints,DEF,1,,0,Saints D/ST,sheet
2020,Aidan,Matt Prater,17,id:17,K,1,,1,Matt Prater,sheet
2020,Aidan,Dak Prescott,3294,id:3294,QB,9,,2,Dak Prescott,sheet
2020,Aidan,Saquon Barkley,4866,id:4866,RB,69,,3,Saquon Barkley,sheet
2020,Aidan,Chris Carson,4273,id:4273,RB,30,,4,Chris Carson,sheet
2020,Aidan,David Johnson,2391,id:2391,RB,19,,5,David Johnson,sheet
2020,Aidan,Tevin Coleman,2378,id:2378,RB,1,,6,Tevin Coleman,sheet
2020,Aidan,Tarik Cohen,4157,id:4157,RB,1,,7,Tarik Cohen,sheet
2020,Aidan,Carlos Hyde,2257,id:2257,RB,1,,8,Carlos Hyde,sheet
2020,Aidan,Darren Waller,2505,id:2505,TE,9,,9,Darren Waller,sheet
2020,Aidan,Mike Gesicki,4993,id:4993,TE,1,,10,Mike Gesicki,sheet
2020,Aidan,Julio Jones,947,id:947,WR,41,,11,Julio Jones,sheet
2020,Aidan,Keenan Allen,1479,id:1479,WR,12,,12,Keenan Allen,sheet
2020,Aidan,Diontae Johnson,5937,id:5937,WR,2,,13,Diontae Johnson,sheet
2020,Aidan,Jalen Reagor,6798,id:6798,WR,1,,14,Jalen Reagor,sheet
2020,Aidan,Brandon Aiyuk,6803,id:6803,WR,1,,15,Brandon Aiyuk,sheet
2020,Aidan,John Brown,2238,id:2238,WR,1,,16,John Brown,sheet
2020,Ankit,Patriots,,def:Patriots,DEF,2,,17,Patriots D/ST,sheet
2020,Ankit,Younghoe Koo,4666,id:4666,K,1,,18,Younghoe Koo,sheet
2020,Ankit,Kyler Murray,5849,id:5849,QB,6,,19,Kyler Murray,sheet
2020,Ankit,James Conner,4137,id:4137,RB,22,,20,James Conner,sheet
2020,Ankit,Ronald Jones,5052,id:5052,RB,15,,21,Ronald Jones II,sheet
2020,Ankit,Mark Ingram,956,id:956,RB,12,,22,Mark Ingram II,sheet
2020,Ankit,Cam Akers,6938,id:6938,RB,12,,23,Cam Akers,sheet
2020,Ankit,J.K. Dobbins,6806,id:6806,RB,11,,24,J.K. Dobbins,sheet
2020,Ankit,D'Andre Swift,6790,id:6790,RB,7,,25,D'Andre Swift,sheet
2020,Ankit,Phillip Lindsay,5170,id:5170,RB,4,,26,Phillip Lindsay,sheet
2020,Ankit,Ke'Shawn Vaughn,6885,id:6885,RB,1,,27,Ke'Shawn Vaughn,sheet
2020,Ankit,George Kittle,4217,id:4217,TE,31,,28,George Kittle,sheet
2020,Ankit,Davante Adams,2133,id:2133,WR,44,,29,Davante Adams,sheet
2020,Ankit,Cooper Kupp,4039,id:4039,WR,20,,30,Cooper Kupp,sheet
2020,Ankit,DeVante Parker,2319,id:2319,WR,6,,31,DeVante Parker,sheet
2020,Ankit,DJ Chark,4951,id:4951,WR,5,,32,DJ Chark Jr.,sheet
2020,Ankit,DeSean Jackson,147,id:147,WR,1,,33,DeSean Jackson,sheet
2020,Ben,Bengals,,def:Bengals,DEF,1,,34,Bengals D/ST,sheet
2020,Ben,Justin Tucker,1264,id:1264,K,3,,35,Justin Tucker,sheet
