name_raw,position,season,resolved,player_id,method,score,note,price
A Hurns,WR,2016,Allen Hurns,1984,fuzzy,97.0,,1
A. Boldin,WR,2015,Anquan Boldin,655,fuzzy,97.0,,1
A.J. Brown,WR,2020,A.J. Brown,5859,fuzzy,100.0,,21
A.J. Green,WR,2020,A.J. Green,830,fuzzy,100.0,,3
A.J. Green,WR,2012,A.J. Green,830,fuzzy,100.0,,28
AJ Dillon,RB,2020,AJ Dillon,6828,fuzzy,100.0,,1
AJ Green,WR,2019,A.J. Green,830,fuzzy,100.0,,4
AJ Green,WR,2017,A.J. Green,830,fuzzy,100.0,,48
AJ Green,WR,2016,A.J. Green,830,fuzzy,100.0,,49
AJ Green,WR,2015,A.J. Green,830,fuzzy,100.0,,40
AJ Green,WR,2014,A.J. Green,830,fuzzy,100.0,,50
AJ Green,WR,2013,A.J. Green,830,fuzzy,100.0,,41
Aamari Cooper,WR,2018,Amari Cooper,2309,fuzzy,97.27272727272727,,15
Aaron Dropson,WR,2014,Aaron Dobson,1365,fuzzy,88.0,,1
Aaron Hernandez,TE,2012,Aaron Hernandez,516,fuzzy,100.0,,4
Aaron Jones,RB,2020,Aaron Jones,4199,fuzzy,100.0,,44
Aaron Jones,RB,2019,Aaron Jones,4199,fuzzy,100.0,,35
Aaron Jones,RB,2018,Aaron Jones,4199,fuzzy,100.0,,2
Aaron Rodgers,QB,2020,Aaron Rodgers,96,fuzzy,100.0,,2
Aaron Rodgers,QB,2019,Aaron Rodgers,96,fuzzy,100.0,,15
Aaron Rodgers,QB,2018,Aaron Rodgers,96,fuzzy,100.0,,22
Aaron Rodgers,QB,2017,Aaron Rodgers,96,fuzzy,100.0,,35
Aaron Rodgers,QB,2016,Aaron Rodgers,96,fuzzy,100.0,,18
Aaron Rodgers,QB,2015,Aaron Rodgers,96,fuzzy,100.0,,27
Aaron Rodgers,QB,2014,Aaron Rodgers,96,fuzzy,100.0,,45
Aaron Rodgers,QB,2013,Aaron Rodgers,96,fuzzy,100.0,,43
Aaron Rodgers,QB,2012,Aaron Rodgers,96,fuzzy,100.0,,59
Adam Thielen,WR,2020,Adam Thielen,1689,fuzzy,100.0,,27
Adam Thielen,WR,2019,Adam Thielen,1689,fuzzy,100.0,,26
Adam Thielen,WR,2017,Adam Thielen,1689,fuzzy,100.0,,1
Adrian Peterson,RB,2020,Adrian Peterson,184,fuzzy,100.0,,1
Adrian Peterson,RB,2018,Adrian Peterson,184,fuzzy,100.0,,3
Adrian Peterson,RB,2017,Adrian Peterson,184,fuzzy,100.0,,7
