player_key,college
id:1004,Auburn
id:1020,Ohio State
id:10213,Cincinnati
id:10222,Michigan State
id:10225,Ole Miss
id:10229,SMU
id:10232,Stanford
id:10236,Utah
id:1026,Kansas State
id:1029,Arizona
id:103,Tulane
id:1048,Miami (FL)
id:1049,Texas A&M
id:1067,California
id:1071,Rutgers
id:1077,Miami (FL)
id:108,Kentucky
id:1082,Alabama
id:10859,Iowa
id:1097,Baylor
id:11,Oklahoma
id:110,Memphis
id:1106,Mississippi State
id:1107,Stanford
id:1110,Florida International
id:1111,Stanford
id:1114,Oklahoma State
id:1123,San Diego State
id:1139,Louisiana-Lafayette
id:1149,South Carolina
id:11533,Notre Dame
id:11539,Arkansas
id:1154,Oklahoma
id:11559,Washington
id:11560,USC
id:11563,Oregon
id:11564,North Carolina
id:11565,Michigan
id:11566,LSU
id:11575,Kentucky
id:11576,Wisconsin
id:11581,USC
id:11583,Texas
id:11584,Oregon
id:11586,Michigan
id:11589,Florida State
id:11604,Georgia
id:11618,Washington
id:11620,Washington
id:11624,Texas
id:11625,Texas
id:11626,South Carolina
id:11628,Ohio State
id:11631,LSU
id:11632,LSU
id:11635,Georgia
id:11637,Florida State
id:11638,Florida
id:1164,Louisiana State
id:11646,Holy Cross
id:11651,Louisville
id:11655,Purdue
id:1166,Michigan State
id:1169,Baylor
id:1170,Florida Atlantic
id:11786,Arkansas
id:11792,Alabama
id:118,Florida State
id:1195,Boise State
id:120,South Dakota State
id:1201,Wake Forest
id:12015,Missouri
id:1206,Cincinnati
id:1208,Appalachian State
id:1214,Georgia
id:1219,Notre Dame
id:122,"Monmouth, N.J."
id:1234,Wisconsin
id:1244,Baylor
id:12457,Texas
id:12469,Tennessee
id:12474,USC
id:12481,Arizona State
id:12484,Iowa State
id:12489,UCF
id:12490,Virginia Tech
id:12492,Illinois
id:12501,Texas
id:12504,Iowa
id:12506,Bowling Green
id:12507,North Carolina
id:12508,Ole Miss
id:12512,Ohio State
id:12514,Ohio State
id:12517,Michigan
id:12518,Penn State
id:12519,Missouri
id:12522,Miami (FL)
id:12526,Arizona
id:12527,Boise State
id:12529,Ohio State
id:12530,Colorado
id:12533,Arizona
id:12534,Rutgers
id:12545,Louisville
id:1263,Temple
id:1264,Texas
id:1265,Abilene Christian
id:1266,Missouri Western
id:12670,Auburn
id:127,Baylor
id:12711,Arizona
id:12713,Miami (FL)
id:128,Northern Colorado
id:1290,Washington
id:13269,Indiana
id:13279,Ohio State
id:13281,Arizona State
id:13286,Notre Dame
id:13287,Notre Dame
id:1329,Monmouth
id:13293,USC
id:13294,USC
id:13298,Texas A&M
id:13305,Arkansas
id:13317,Georgia State
id:13320,Georgia
id:1339,Stanford
id:13413,Cincinnati
id:13414,Indiana
id:13417,Ole Miss
id:13424,Kentucky
id:1346,Texas
id:1349,Florida State
id:1352,USC
id:1353,Florida
id:13545,Florida
id:1358,Florida
id:1365,Marshall
id:1373,West Virginia
