season,draft_id,pick_no,roster_id,picked_by,manager,player_id,first_name,last_name,position,nfl_team,amount
2021,731686011016421376,1,7,621896714877599744,Steven,4029,Dalvin,Cook,RB,MIN,71
2021,731686011016421376,2,8,734157966206455808,Ankit,4035,Alvin,Kamara,RB,NO,68
2021,731686011016421376,3,1,622284153274048512,Aidan,947,Julio,Jones,WR,TEN,16
2021,731686011016421376,4,3,683108507217653760,Jake,4034,Christian,McCaffrey,RB,CAR,85
2021,731686011016421376,5,10,735661741740056576,Ryan,3164,Ezekiel,Elliott,RB,DAL,60
2021,731686011016421376,6,2,611688251123699712,Ben,1466,Travis,Kelce,TE,KC,45
2021,731686011016421376,7,7,621896714877599744,Steven,167,Tom,Brady,QB,TB,6
2021,731686011016421376,8,9,622238358105575424,Tommy,4663,Austin,Ekeler,RB,LAC,42
2021,731686011016421376,9,8,734157966206455808,Ankit,3321,Tyreek,Hill,WR,KC,45
2021,731686011016421376,10,4,473908924727160832,Rohaan,5927,Terry,McLaurin,WR,WAS,30
2021,731686011016421376,11,5,622233730559348736,Joe,2133,Davante,Adams,WR,GB,46
2021,731686011016421376,12,7,621896714877599744,Steven,4866,Saquon,Barkley,RB,NYG,53
2021,731686011016421376,13,5,622233730559348736,Joe,4046,Patrick,Mahomes,QB,KC,25
2021,731686011016421376,14,4,473908924727160832,Rohaan,3198,Derrick,Henry,RB,TEN,69
2021,731686011016421376,15,6,732065507691356160,Oleg,6955,James,Robinson,RB,JAX,36
2021,731686011016421376,16,1,622284153274048512,Aidan,1479,Keenan,Allen,WR,LAC,29
2021,731686011016421376,17,7,621896714877599744,Steven,6790,D'Andre,Swift,RB,DET,41
2021,731686011016421376,18,2,611688251123699712,Ben,5916,Darrell,Henderson,RB,LAR,31
2021,731686011016421376,19,6,732065507691356160,Oleg,4988,Nick,Chubb,RB,CLE,59
2021,731686011016421376,20,5,622233730559348736,Joe,5846,DK,Metcalf,WR,SEA,33
2021,731686011016421376,21,2,611688251123699712,Ben,4217,George,Kittle,TE,SF,21
2021,731686011016421376,22,10,735661741740056576,Ryan,6813,Jonathan,Taylor,RB,IND,44
2021,731686011016421376,23,1,622284153274048512,Aidan,4199,Aaron,Jones,RB,GB,57
2021,731686011016421376,24,9,622238358105575424,Tommy,TB,Tampa Bay,Buccaneers,DEF,TB,5
2021,731686011016421376,25,4,473908924727160832,Rohaan,1264,Justin,Tucker,K,BAL,4
2021,731686011016421376,26,9,622238358105575424,Tommy,4227,Harrison,Butker,K,KC,3
