season,manager,rank,rumbles,h2h_w,h2h_l,pf,teams,place
2021,Ryan,1,190,11,4,1966,10,0
2021,Ankit,2,181,10,5,1860,10,0
2021,Ben,3,178,11,4,1771,10,0
2021,Aidan,4,154,9,6,1660,10,0
2021,Joe,5,125,7,8,1673,10,0
2021,Tommy,6,119,6,9,1691,10,0
2021,Rohaan,7,107,5,10,1667,10,0
2021,Jake,8,104,6,9,1575,10,0
2021,Oleg,9,99,5,10,1584,10,0
2021,Steven,10,93,5,10,1584,10,0
2022,Ben,1,218,15,0,2013,10,0
2022,Aidan,2,195,12,3,2039,10,0
2022,Alex,3,163,9,6,2035,10,0
2022,Rohaan,4,156,9,6,1966,10,0
2022,Jake,5,127,8,7,1852,10,0
2022,Joe,6,119,6,9,1975,10,0
2022,Ankit,7,114,5,10,1934,10,0
2022,Ryan,8,100,4,11,1895,10,0
2022,Steven,9,88,5,10,1778,10,0
2022,Tommy,10,70,2,13,1850,10,0
2023,Steven,1,171,10,5,2065,10,0
2023,Ryan,2,169,10,5,2104,10,0
2023,Jake,3,166,9,6,2102,10,0
2023,Ankit,4,158,9,6,2023,10,0
2023,Joe,5,149,9,6,2006,10,0
2023,Alex,6,130,7,8,1967,10,0
2023,Rohaan,7,124,7,8,1915,10,0
2023,Aidan,8,116,6,9,1982,10,0
2023,Ben,9,108,6,9,1849,10,0
2023,Tommy,10,58,2,13,1780,10,0
2024,Ben,1,203,11,4,2406,10,0
2024,Alex,2,184,10,5,2205,10,0
2024,Aidan,3,165,10,5,2125,10,0
2024,Rohaan,4,160,10,5,2023,10,0
2024,Joe,5,145,9,6,1955,10,0
2024,Christian,6,115,6,9,1925,10,0
2024,Ankit,7,109,6,9,1951,10,0
2024,Jake,8,100,4,11,1986,10,0
2024,Steven,9,97,5,10,1936,10,0
2024,Ryan,10,72,4,11,1769,10,0
2025,Steven,1,210,12,3,2674,10,0
2025,Aidan,2,174,10,5,2384,10,0
2025,Joe,3,165,9,6,2388,10,0
2025,Ankit,4,146,7,8,2332,10,0
2025,Rohaan,5,139,9,6,2153,10,0
2025,Christian,6,126,7,8,2115,10,0
2025,Jake,7,119,7,8,2059,10,0
2025,Ben,8,117,6,9,2173,10,0
2025,Alex,9,94,5,10,2014,10,0
2025,Ryan,10,60,3,12,1957,10,0
